vendedor,sede,producto,cantidad,precio,fecha
Ana,Bogotá,Laptop,3,3200,2023-01-10
Luis,Medellín,Mouse,12,25,2023-02-14
Ana,Bogotá,Teclado,5,120,2023-03-02
Carlos,Medellín,Laptop,1,3200,2023-04-20
Luis,Bogotá,Pantalla,2,800,2023-05-01
Ana,Bogotá,Laptop,2,3200,2023-06-11
Luis,Medellín,Teclado,4,120,2023-06-15
Carlos,Bogotá,Mouse,20,25,2023-07-03
Ana,Medellín,Pantalla,1,800,2023-07-20
Luis,Bogotá,Laptop,1,3200,2023-07-29
Carlos,Medellín,Teclado,3,120,2023-08-12
Ana,Bogotá,Mouse,15,25,2023-08-22
Luis,Medellín,Pantalla,2,800,2023-09-01
Carlos,Bogotá,Laptop,2,3200,2023-09-10
Ana,Medellín,Mouse,18,25,2023-09-21
Luis,Bogotá,Teclado,6,120,2023-10-02
Carlos,Medellín,Pantalla,1,800,2023-10-11
Ana,Bogotá,Laptop,1,3200,2023-10-22
Luis,Medellín,Mouse,10,25,2023-10-31
Carlos,Bogotá,Teclado,4,120,2023-11-13
Ana,Medellín,Pantalla,1,800,2023-11-22
Luis,Bogotá,Laptop,3,3200,2023-11-30
Carlos,Medellín,Mouse,7,25,2023-12-05
Ana,Bogotá,Teclado,2,120,2023-12-16
Luis,Medellín,Pantalla,2,800,2023-12-22
Carlos,Bogotá,Laptop,1,3200,2024-01-04
Ana,Medellín,Mouse,14,25,2024-01-08
Luis,Bogotá,Teclado,5,120,2024-01-13
Carlos,Medellín,Pantalla,1,800,2024-01-25
Ana,Bogotá,Mouse,16,25,2024-02-05
Luis,Medellín,Laptop,2,3200,2024-02-17
Carlos,Bogotá,Teclado,3,120,2024-02-22
Ana,Medellín,Pantalla,2,800,2024-03-03
Luis,Bogotá,Mouse,18,25,2024-03-10
Carlos,Medellín,Laptop,1,3200,2024-03-21
Ana,Bogotá,Teclado,4,120,2024-04-02
Luis,Medellín,Pantalla,3,800,2024-04-10
Carlos,Bogotá,Mouse,9,25,2024-04-18
Ana,Medellín,Laptop,1,3200,2024-04-29
Luis,Bogotá,Teclado,6,120,2024-05-03
Carlos,Medellín,Pantalla,2,800,2024-05-15
Ana,Bogotá,Mouse,12,25,2024-05-24
Luis,Medellín,Laptop,1,3200,2024-06-01
Carlos,Bogotá,Teclado,3,120,2024-06-11
Ana,Medellín,Pantalla,2,800,2024-06-19
Luis,Bogotá,Mouse,14,25,2024-06-29
Carlos,Medellín,Laptop,1,3200,2024-07-07
Ana,Bogotá,Teclado,5,120,2024-07-17
Luis,Medellín,Pantalla,1,800,2024-07-25
Carlos,Bogotá,Mouse,11,25,2024-07-30
Ana,Medellín,Laptop,2,3200,2024-08-09
Luis,Bogotá,Teclado,4,120,2024-08-18
Carlos,Medellín,Pantalla,2,800,2024-08-28
Ana,Bogotá,Mouse,13,25,2024-09-02
Luis,Medellín,Laptop,1,3200,2024-09-14
Carlos,Bogotá,Teclado,4,120,2024-09-22
Ana,Medellín,Pantalla,1,800,2024-09-30
Luis,Bogotá,Mouse,17,25,2024-10-11
Carlos,Medellín,Laptop,2,3200,2024-10-19
Ana,Bogotá,Teclado,3,120,2024-10-27
Luis,Medellín,Pantalla,1,800,2024-11-04
Carlos,Bogotá,Mouse,10,25,2024-11-12
Ana,Medellín,Laptop,1,3200,2024-11-20
Luis,Bogotá,Teclado,7,120,2024-11-28
Carlos,Medellín,Pantalla,1,800,2024-12-03
Ana,Bogotá,Mouse,16,25,2024-12-11
Luis,Medellín,Laptop,2,3200,2024-12-16
Carlos,Bogotá,Teclado,5,120,2024-12-23
Ana,Medellín,Pantalla,1,800,2024-12-29
Luis,Bogotá,Mouse,19,25,2025-01-07
Carlos,Medellín,Laptop,1,3200,2025-01-15
Ana,Bogotá,Teclado,4,120,2025-01-23
Luis,Medellín,Pantalla,3,800,2025-01-30
Carlos,Bogotá,Mouse,12,25,2025-02-06
Ana,Medellín,Laptop,2,3200,2025-02-14
Luis,Bogotá,Teclado,6,120,2025-02-20
Carlos,Medellín,Pantalla,1,800,2025-02-27
Ana,Bogotá,Mouse,15,25,2025-03-06
Luis,Medellín,Laptop,2,3200,2025-03-15
Carlos,Bogotá,Teclado,5,120,2025-03-22
Ana,Medellín,Pantalla,2,800,2025-03-30
Luis,Bogotá,Mouse,17,25,2025-04-05
Carlos,Medellín,Laptop,1,3200,2025-04-13
Ana,Bogotá,Teclado,3,120,2025-04-21
Luis,Medellín,Pantalla,1,800,2025-04-29
Carlos,Bogotá,Mouse,11,25,2025-05-06
Ana,Medellín,Laptop,2,3200,2025-05-14
Luis,Bogotá,Teclado,4,120,2025-05-22
Carlos,Medellín,Pantalla,2,800,2025-05-30
